topico,fecha,diario,seccion,freq
copitos,2022-09-01,todonoticias,estilo,0
discurso-de-odio,2022-09-01,todonoticias,estilo,0
copitos,2022-09-01,lanacion,tecnologia,0
discurso-de-odio,2022-09-01,lanacion,tecnologia,0
copitos,2022-09-01,todonoticias,autos,0
discurso-de-odio,2022-09-01,todonoticias,autos,0
copitos,2022-09-01,todonoticias,salud,0
discurso-de-odio,2022-09-01,todonoticias,salud,0
copitos,2022-09-01,clarin,rural,0
discurso-de-odio,2022-09-01,clarin,rural,0
copitos,2022-09-01,lanacion,seguridad,0
discurso-de-odio,2022-09-01,lanacion,seguridad,0
copitos,2022-09-01,eldestape,espectaculos,0
discurso-de-odio,2022-09-01,eldestape,espectaculos,0
copitos,2022-09-01,clarin,espectaculos,0
discurso-de-odio,2022-09-01,clarin,espectaculos,0
copitos,2022-09-01,todonoticias,internacional,0
discurso-de-odio,2022-09-01,todonoticias,internacional,0
copitos,2022-09-01,todonoticias,tecno,0
discurso-de-odio,2022-09-01,todonoticias,tecno,0
copitos,2022-09-01,eldestape,cultura,0
discurso-de-odio,2022-09-01,eldestape,cultura,0
copitos,2022-09-01,clarin,autos,0
discurso-de-odio,2022-09-01,clarin,autos,0
copitos,2022-09-01,clarin,tecnologia,0
discurso-de-odio,2022-09-01,clarin,tecnologia,0
copitos,2022-09-01,paginadoce,deportes,0
discurso-de-odio,2022-09-01,paginadoce,deportes,0
copitos,2022-09-01,paginadoce,no,0
discurso-de-odio,2022-09-01,paginadoce,no,0
copitos,2022-09-01,ambito,negocios,0
discurso-de-odio,2022-09-01,ambito,negocios,0
copitos,2022-09-01,clarin,arq,0
discurso-de-odio,2022-09-01,clarin,arq,0
copitos,2022-09-01,perfil,cultura,0
discurso-de-odio,2022-09-01,perfil,cultura,0
copitos,2022-09-01,clarin,cultura,0
discurso-de-odio,2022-09-01,clarin,cultura,0
copitos,2022-09-01,todonoticias,opinion,0
discurso-de-odio,2022-09-01,todonoticias,opinion,0
copitos,2022-09-01,lanacion,autos,0
discurso-de-odio,2022-09-01,lanacion,autos,0
copitos,2022-09-01,perfil,tecnologia,0
discurso-de-odio,2022-09-01,perfil,tecnologia,0
